"IdNormativaRef";"IdNorActual";"IdNorAnterior";"TipoRef"
411;1038;1037;3
412;1039;631;2
413;1040;631;3
414;1040;1039;3
415;1041;966;2
416;1041;967;2
417;1041;989;2
418;1041;1002;2
419;1041;1027;2
421;1052;795;2
422;1052;851;2
423;1058;204;1
424;1062;218;1
425;1062;266;1
426;1062;616;1
427;1062;914;1
428;1064;679;1
429;1067;281;1
430;1068;202;2
431;1069;202;3
432;1069;1068;3
433;1070;630;2
434;1070;740;2
436;1070;963;2
437;1070;964;7
438;1071;630;3
439;1071;740;3
440;1071;963;3
441;1071;1070;3
442;1079;1074;2
443;1080;965;2
444;1080;988;2
445;1080;1026;2
446;1083;676;2
447;1083;764;2
448;1083;995;2
449;1083;996;1
450;1084;676;3
451;1084;764;3
452;1084;995;3
453;1084;1083;3
454;1089;197;1
455;1089;563;1
456;1089;784;1
458;1089;913;1
459;1090;849;2
460;1090;855;2
461;1090;888;2
463;1090;945;2
465;1090;959;2
466;1090;960;1
467;1094;1061;2
469;1095;1074;2
470;1095;1079;2
471;1096;93;6
473;1096;991;6
474;1097;785;2
475;1097;863;2
476;1098;785;3
477;1098;862;3
478;1098;1097;3
479;1103;1074;2
480;1103;1079;2
481;1103;1095;2
482;1105;460;2
483;1105;581;2
484;1105;666;2
485;1105;708;2
486;1105;844;2
487;1105;897;2
488;1105;898;1
490;1106;834;2
491;1110;21;2
492;1111;21;3
493;1111;1110;3
494;1112;460;3
495;1112;581;3
496;1112;708;3
497;1112;844;3
498;1112;897;3
499;1112;1105;3
500;1113;949;3
501;1113;1106;3
502;1114;1085;5
503;1116;484;1
504;1118;1093;6
505;1130;1116;5
506;1140;630;2
507;1140;740;2
508;1140;963;2
509;1140;1070;2
510;1140;1071;1
511;1141;630;3
512;1141;740;3
513;1141;963;3
514;1141;1070;3
515;1141;1140;3
516;1143;747;3
517;1143;810;3
518;1143;811;1
520;740;315;1
521;1151;1146;2
522;1152;538;2
523;1154;863;2
524;1154;1097;2
527;1161;1144;2
528;1161;1145;2
529;1162;816;1
530;1162;912;1
531;1162;933;1
532;1162;940;1
533;1166;817;1
534;1166;1158;1
535;1170;1165;5
536;1172;1162;5
537;1173;1162;2
538;1187;1162;5
539;1188;1162;3
540;1188;1172;3
541;1188;1187;3
542;1188;1173;3
543;1189;795;1
544;1189;851;1
545;1189;1052;1
547;1191;849;1
548;1191;855;1
549;1191;888;1
550;1191;945;1
551;1191;959;1
552;1199;215;1
553;1200;1061;3
554;1200;1094;3
555;1201;1146;2
556;1204;1085;6
557;1205;747;2
558;1205;810;2
560;1205;1143;1
561;1206;747;3
562;1206;810;3
563;1206;1142;3
564;1206;1205;3
